Sample Base Name,RRT,% Area
DPS21007,0.379584707937124,0.0009
DPS21007,0.4816994309363683,0.0348
DPS21007,0.4817905427259202,0.0351
DPS21007,0.48182406209573087,0.0352
DPS21007,0.5075012933264356,0.0149
DPS21007,0.507503234152652,0.0149
DPS21007,0.5075360631347435,0.0149
DPS21007,0.6453698913605794,0.0125
DPS21007,0.6454492528624103,0.0123
DPS21007,0.6455368693402328,0.0122
DPS21007,0.6919296430419037,0.0049
DPS21007,0.701533087521832,0.0058
DPS21007,0.7022639068564035,0.005
DPS21007,0.7763762209716024,0.0035
DPS21007,0.7764485256078634,0.0033
DPS21007,0.7766494178525226,0.0033
DPS21007,0.8261122607346094,0.0118
DPS21007,0.8261319534282018,0.0119
DPS21007,0.8262500808590465,0.0119
DPS21007,0.8606080206985769,0.01
DPS21007,0.8607283782909632,0.0097
DPS21007,0.8608380755302638,0.0099
DPS21007,0.9179765832201308,0.0023
DPS21007,0.9181759379042691,0.0023
DPS21007,0.9184557682359027,0.0019
DPS21007,1.0,99.21676666666667
DPS21007,1.2062095730918498,0.0464
DPS21007,1.2071932207775407,0.0477
DPS21007,1.2073202276254527,0.0436
DPS21007,1.3312855664769787,0.5204
DPS21007,1.33130659767141,0.5236
DPS21007,1.3314574034542983,0.5234
DPS21007,1.7083252474286823,0.0045
DPS21007,1.7093895499224003,0.0034
DPS21007,1.710672703751617,0.0035
DPS21007,2.22128815312985,0.0227
DPS21007,2.221345407503234,0.0215
DPS21007,2.2216184746749468,0.021
DPS21007,2.2836911536471804,0.0032
DPS21007,2.284023285899094,0.0067
DPS21007,2.2843004075295945,0.0061
DPS21007,2.346417485773409,0.0212
DPS21007,2.3467658473479944,0.0114
DPS21007,2.3470470276214503,0.0291
DPS21007,2.3839886187273667,0.0042
DPS21007,2.384087968952134,0.004
DPS21007,2.3845009379649396,0.005
DPS21007,2.4172917744438696,0.0306
DPS21007,2.4173350582147477,0.0294
DPS21007,2.417556116178278,0.0323
DPS21007,2.446068287635799,0.0206
DPS21007,2.4461190168175935,0.02
DPS21007,2.446341936735882,0.0216
DPS21008,0.22067093271281754,0.0081
DPS21008,0.22084303077320921,0.0124
DPS21008,0.22088587132234078,0.0077
DPS21008,0.3399909508111951,0.002
DPS21008,0.3403154900439617,0.0021
DPS21008,0.3403815066278694,0.0022
DPS21008,0.3511154219204656,0.0016
DPS21008,0.3521463666925265,0.0014
DPS21008,0.3523366298235408,0.0016
