Sample Name,Peak Number,RT,Area,Height,% Area,Total Area,Int Type
DPS22013-3,6,11.054,619,22,0.0059,10480072,BB
DPS22013-3,7,12.214,567,38,0.0054,10480072,BV
DPS22013-3,3,13.031,1530,63,0.0146,10480072,VV
DPS22013-3,9,13.616,975,45,0.0093,10480072,VV
DPS22013-3,2,14.263,310,17,0.0030,10480072,VB
DPS22013-3,72,15.827,10408415,267225,99.3163,10480072,BV
DPS22013-3,12,19.144,2250,64,0.0215,10480072,VV
DPS22013-3,13,20.054,1599,52,0.0153,10480072,VV
DPS22013-3,1,20.954,42909,1688,0.4094,10480072,VB
DPS22013-3,15,26.681,293,10,0.0028,10480072,BB
DPS22013-3,16,31.793,602,50,0.0057,10480072,BB
DPS22013-3,17,34.434,2115,147,0.0202,10480072,BB
DPS22013-3,18,35.364,773,65,0.0074,10480072,BB
DPS22013-3,19,36.331,3638,162,0.0347,10480072,BB
DPS22013-3,20,37.401,4429,456,0.0423,10480072,BB
DPS22014-1,1,5.324,409,25,0.0039,10549452,BB
DPS22014-1,21,37.843,1658,185,0.0157,10549452,BB
DPS22014-1,2,7.525,1451,147,0.0138,10549452,BV
DPS22014-1,3,7.720,1691,153,0.0160,10549452,VV
DPS22014-1,4,7.966,1544,132,0.0146,10549452,VB
DPS22014-1,5,10.152,977,64,0.0093,10549452,BV
DPS22014-1,6,11.043,639,21,0.0061,10549452,VB
DPS22014-1,7,12.195,524,34,0.0050,10549452,BV
DPS22014-1,3,13.007,1345,54,0.0127,10549452,VV
DPS22014-1,9,13.636,1179,47,0.0112,10549452,VV
DPS22014-1,2,14.296,322,16,0.0031,10549452,VB
DPS22014-1,72,15.785,10481569,262575,99.3565,10549452,BV
DPS22014-1,12,17.950,3139,84,0.0298,10549452,VV
DPS22014-1,13,19.197,1751,49,0.0166,10549452,VV
DPS22014-1,1,20.937,43604,1642,0.4133,10549452,VB
DPS22014-1,15,26.680,310,9,0.0029,10549452,BB
DPS22014-1,16,34.377,1952,135,0.0185,10549452,BB
DPS22014-1,17,35.351,479,44,0.0045,10549452,BB
